item_no,cond,img,upper_lim,prop,seed_no,max_value,trunc_max,trunc_diff,title,variable,sentence1,sentence2,question,left_anchor,right_anchor
16,trunc,graphs/E16trunc.png,750,0.1,15,88.73340524996172,75,13.73340524996172,Road Sign Legibility,Road Sign Font,"A survey was conducted to investigate the legibility of five different road sign fonts, with a sample size of 750 drivers who tested each sign.","The graph shows, for each road sign font, how many people were able to read the writing clearly.",How legibile were the road sign fonts?,Very unlegible,Very legible
17,full,graphs/E17full.png,800,0.15,18,134.582569350627,100,34.58256935062701,Manufacturing Methods,Manufacturing Method,"A survey was conducted to investigate five manufacturing methods, with a sample size of 800 items produced by each method.","The graph shows, for each manufacturing method, how many of the items were free from defects.",How successful were the manufacturing methods?,Very unsuccessful,Very successful
18,trunc,graphs/E18trunc.png,850,0.2,17,176.56277213320172,150,26.56277213320172,Alcohol Purchases,Supermarket,"A survey was conducted to investigate alcohol purchases in five supermarkets, with a sample size of 850 shoppers from each supermarket.","The graph shows, for each supermarket, the number of shoppers who bought alcohol.",How common were alcohol purchases?,Very uncommon,Very common
19,full,graphs/E19full.png,900,0.1,20,106.06918502984952,90,16.06918502984952,Pension Schemes,Recruitment Company,"A survey was conducted to investigate pension scheme enrollment in five recruitment companies, with a sample size of 900 employees from each company.","The graph shows, for each recruitment company, how many of the employees opted out of the pension scheme.",How common was it to opt out of the pension scheme?,Very uncommon,Very common
20,trunc,graphs/E20trunc.png,950,0.15,19,151.8162910496268,120,31.816291049626813,Master's Degree,Tech Company,"A survey was conducted to investigate educational qualification in five tech companies, with a sample size of 950 employees from each company.","The graph shows, for each tech company, the number of employees who held a master's degree.",How common was it for employees to hold a master's degree?,Very uncommon,Very common
21,full,graphs/E21full.png,500,0.2,21,110.98694766277387,90,20.986947662773872,Computer Programmers,Novice Computer Programmer,"A survey was conducted to investigate the aptitude of five novice computer programmers in their final assessments, with 500 questions given to each novice computer programmer.","The graph shows, for each novice computer programmer, the number of questions which they answered correctly.",How well did the novice computer programmers perform?,Very poorly,Very well
22,trunc,graphs/E22trunc.png,550,0.1,22,68.66851022804619,60,8.668510228046188,Chocolate Consumption,UK County,"A survey was conducted to investigate perceptions of chocolate consumption in five different UK counties, with a sample size of 550 people from each county.","The graph shows, for each different county, the number of people who eat chocolate daily.",How common was daily chocolate consumption?,Very uncommon,Very common
23,full,graphs/E23full.png,600,0.15,24,95.08476010387166,75,20.08476010387166,Job Satisfaction,Consultation Company,"A survey was conducted to investigate employee satisfaction at five different consultation companies, with a sample size of 600 employees from each company.","The graph shows, for each consultation company, the number of employees that were satisfied with their current roles.",How satisfied with their jobs were employees at these companies?,Very unsatisfied,Very satisfied
24,trunc,graphs/E24trunc.png,650,0.2,23,141.65702259841294,100,41.65702259841294,TV Programmes,TV Programme,"A survey was conducted to investigate opinions of five TV programmes, with a sample size of 650 people who watched each programme.","The graph shows, for each TV programme, the number of people who enjoyed the programme.",How enjoyable did people find the TV programmes?,Very unenjoyable,Very enjoyable
25,full,graphs/E25full.png,700,0.1,27,83.35013794973908,80,3.3501379497390786,Study Apps,Exam Study App,"A survey was conducted to investigate the efficacy of five exam study apps, with a sample size of 700 students who tested each app.","The graph shows, for each exam study app, the number of students that met their target grades.",How successful were the study apps?,Very unsuccessful,Very successful
26,trunc,graphs/E26trunc.png,750,0.15,28,113.72002263900984,90,23.72002263900984,Dating Apps,Dating App,"A survey was conducted to investigate the efficacy of five dating apps, with a sample size of 750 people who used each app.","The graph shows, for each dating app, the number of users that formed romantic relationships with other app users.",How successful were the dating apps?,Very unsuccessful,Very successful
27,full,graphs/E27full.png,800,0.2,26,169.18316840273872,150,19.183168402738715,Productivity Courses,Company,"A survey was conducted to investigate the effectiveness of a productivity course utilised by five companies based in America, with a sample size of 800 employees from each company.","The graph shows, for each company, the number of employees whose productivity at work improved.",How effective was the productivity course?,Very ineffective,Very effective
28,trunc,graphs/E28trunc.png,850,0.1,29,93.04906625276332,75,18.049066252763325,Fizzy Drinks,Fizzy Drink,"A survey was conducted to investigate opinions on five fizzy drinks, with a sample size of 850 people who tested each drink.","The graph shows, for each fizzy drink, the number of people who said they would buy the drink in a supermarket.",How enjoyable did people find the fizzy drinks?,Very unenjoyable,Very enjoyable
29,full,graphs/E29full.png,900,0.15,30,151.42068541213808,120,31.420685412138084,Fast-Food Chains,Fast-Food Chain,"A survey was conducted to investigate food hygiene at five fast-food chains, with a sample size of 900 restaurants reviewed from each fast-food chain.","The graph shows, for each fast-food chain, the number of restaurants where no hygiene issues were identified.",How hygienic were the fast-food chains?,Very unhygienic,Very hygienic
30,trunc,graphs/E30trunc.png,950,0.2,31,205.15973740990108,200,5.1597374099010835,Animal Health,Farm,"A survey was conducted to investigate agricultural hygiene of five large-scale farms, with a sample size of 950 animals from each farm.","The graph shows, for each farm, the number of animals that were free from disease.",How healthy were the animals?,Very unhealthy,Very healthy
31,full,graphs/E31full.png,500,0.1,32,54.3664435397803,50,4.366443539780299,Psychology Students,Psychology Student,"A survey was conducted to investigate the aptitude of five psychology students, with 500 questions given to each psychology student.","The graph shows, for each psychology student, the number of questions which they answered correctly.",How competent were the psychology students?,Very incompetent,Very competent
32,trunc,graphs/E32trunc.png,550,0.15,33,88.05796453840026,75,13.057964538400256,Trainee Engineers,Trainee Engineer,"A survey was conducted to investigate the aptitude of five trainee engineers in their final assessments, with 550 questions given to each trainee engineer.","The graph shows, for each trainee engineer, the number of questions which they answered correctly.",How well did the trainee engineers perform?,Very poorly,Very well
33,full,graphs/E33full.png,600,0.2,34,127.1988773796383,125,2.1988773796383043,Job Wellbeing,Taxi Company,"A survey was conducted to investigate workplace wellbeing at five taxi companies, with a sample size of 600 employees from each company.","The graph shows, for each taxi company, the number of employees who reported high workplace wellbeing.",How satisfied were employees with their jobs?,Very unsatisfied,Very satisfied
34,trunc,graphs/E34trunc.png,650,0.1,35,86.6959460987939,75,11.695946098793897,Climbing Shoes,Climbing Shoe,"A survey was conducted to investigate the efficacy of five climbing shoes, with a sample size of 650 climbers assessing each shoe.","The graph shows, for each different climbing shoe, the number of climbers who noticed improvements in their climbing.",How effective were the climbing shoes?,Very ineffective,Very effective
35,full,graphs/E35full.png,700,0.15,37,109.05469936988813,90,19.054699369888127,Concert Sound System,Concert Sound System,"A survey was conducted to investigate the performance of five concert sound systems, with a sample size of 700 people testing each system.","The graph shows, for each concert sound system, the number of people who could hear the music clearly at the back of the venue.",How effective were the concert speakers speakers?,Very uneffective,Very effective
36,trunc,graphs/E36trunc.png,750,0.2,36,162.74946327388196,160,2.7494632738819575,Suntan Lotion,Suntan Lotion,"A survey was conducted to investigate the efficacy of five suntan lotions, with a sample size of 750 people reviewing each lotion.","The graph shows, for each suntan lotion, the number of people that didn't get sunburnt after spending a day in the sun.",How effective were the suntan lotions?,Very uneffective,Very effective
37,full,graphs/E37full.png,800,0.1,38,85.4919724021913,80,5.491972402191294,Breeding Programmes,Animal Breeding Programme,"A survey was conducted to investigate the efficacy of five extensive animal breeding programmes, with a sample size of 800 animals from each breeding programme.","The graph shows, for each breeding programme, the number of animals that successfully produced offspring.",How effective were the breeding programmes?,Very ineffective,Very effective
38,trunc,graphs/E38trunc.png,850,0.15,39,131.4722501864528,100,31.47225018645281,Ready-To-Assemble Furniture,Furniture Product,"A survey was conducted to investigate the ease of assembly of five furniture products, with a sample size of 850 people assembling each furniture product.","The graph shows, for each furniture product, the number of people who assembled it on their first attempt.",How easy was it to assemble the furniture?,Very difficult,Very easy
39,full,graphs/E39full.png,900,0.2,40,184.4656454052928,150,34.465645405292804,Self-Organisation Courses,Self-Organisation Course,"A survey was conducted to investigate the efficacy of five self-organisation courses, with a sample size of 900 people who tested each course.","The graph shows, for each course, the number of people who felt that they were spending their time more efficiently",How effective were the self-organisation courses?,Very ineffective,Very effective
40,trunc,graphs/E40trunc.png,950,0.1,1,110.15516762030902,90,20.155167620309015,Insurance Policies,Insurance Policy,"A survey was conducted to investigate attitudes towards five insurance policies, with a sample size of 950 people enrolled in each policy.","The graph shows, for each insurance policy, the number of people that thought it was good value.",How satisfied were people with the insurance policy prices?,Very unsatisfied,Very satisfied
