item_no,title,variable,sentence1,sentence2,question,left_anchor,right_anchor,seed_no
28,Fizzy Drinks,Fizzy Drink,"A survey was conducted to investigate opinions on x fizzy drinks, with a sample size of y people who tested each drink.","The graph shows, for each fizzy drink, the number of people who said they would buy the drink in a supermarket. ",How enjoyable did people find the fizzy drinks?,Very unenjoyable,Very enjoyable,28
29,Fast-Food Chains,Fast-Food Chain,"A survey was conducted to investigate food hygiene at x fast-food chains, with a sample size of y restaurants reviewed from each fast-food chain.","The graph shows, for each fast-food chain, the number of restaurants where no hygiene issues were identified.",How hygienic were the fast-food chains?,Very unhygienic,Very hygienic,29
30,Animal Health,Farm,"A survey was conducted to investigate agricultural hygiene of x farms, with a sample size of y animals from each farm.","The graph shows, for each farm, the number of animals that were free from disease.",How healthy were the animals?,Very unhealthy,Very healthy,30
31,Trainee Pilots,Trainee Pilot,"A survey was conducted to investigate the aptitude of x trainee pilots, with y assessments taken by each trainee pilot.","The graph shows, for each trainee pilot, the number of assessments which they passed.",How competent were the trainee pilots?,Very incompetent,Very competent,31
32,Breeding Programmes,Animal Breeding Programme,"A survey was conducted to investigate the efficacy of x animal breeding programmes, with a sample size of y animals from each breeding programme. ","The graph shows, for each breeding programme, the number of animals that successfully produced offspring.",How effective were the breeding programmes?,Very ineffective,Very effective,32
33,Job Wellbeing,Taxi Company,"A survey was conducted to investigate wellbeing at x taxi companies, with a sample size of y employees from each company.","The graph shows, for each taxi company, the number of employees who reported high workplace wellbeing.",How satisfied were employees with their jobs?,Very unsatisfied,Very satisfied,33
34,Climbing Shoes,Climbing Shoe,"A survey was conducted to investigate the efficacy of x climbing shoes, with a sample size of y climbers assessing each shoe.","The graph shows, for each different climbing shoe, the number of climbers who noticed improvements in their climbing.",How effective were the climbing shoes?,Very ineffective,Very effective,34
35,Concert Sound System,Concert Sound System,"A survey was conducted to investigate the performance of x concert sound systems, with a sample size of y people testing each system.","The graph shows, for each concert sound system, the number of people who could hear the music clearly at the back of the venue.",How effective were the concert speakers speakers?,Very uneffective,Very effective,35
36,Suntan Lotion,Suntan Lotion,"A survey was conducted to investigate the efficacy of x suntan lotions, with a sample size of y people reviewing each lotion.","The graph shows, for each suntan lotion, the number of people that didn't get sunburnt after spending a day in the sun. ",How effective were the suntan lotions?,Very uneffective,Very effective,36
37,Trainee Engineers,Trainee Engineer,"A survey was conducted to investigate the aptitude of x trainee engineers, with y assessments taken by each trainee engineer.","The graph shows, for each trainee engineer, the number of assessments which they passed.",How well did the trainee engineers perform?,Very poorly,Very well,37
38,Ready-To-Assemble Furniture,Furniture Product,"A survey was conducted to investigate the ease of assembly of x furniture products, with a sample size of y people assembling each furniture product.","The graph shows, for each furniture product, the number of people who assembled it on their first attempt.",How easy was it to assemble the furniture?,Very difficult,Very easy,38
39,City Running Clubs,City Running Club,"A survey was conducted to investigate the effectiveness of x city running clubs, with a sample size of y runners from each club.","The graph shows, for each running club, the number of runners who improved their running performance.",How effective were the city running clubs at improving running performance?,Very ineffective,Very effective,39
40,Computer Programmers,Novice Computer Programmer,"A survey was conducted to investigate the aptitude of x novice computer programmers, with y assessments taken by each novice computer programmer. ","The graph shows, for each novice computer programmer, the number of tasks which they completed.",How well did the novice computer programmers perform?,Very poorly,Very well,40
