item_no,title,variable,sentence1,sentence2,question,left_anchor,right_anchor,seed_no
14,Excema Medications,Excema Medication,"A survey was conducted to investigate the efficacy of x excema medications, with a sample size of y people who trialed each medication.","The graph shows, for each excema medication, the number of people whose excema receded.",How effective were the excema medications?,Very ineffective ,Very effective,14
15,Public Transport,Town,"A survey was conducted to investigate public transport popularity in x towns, with a sample size of y people from each town.","The graph shows, for each town, how many people took public transport regularly. ",How popular was public transport in these towns?,Very unpopular,Very popular,54
16,Road Sign Legibility,Road Sign Font,"A survey was conducted to investigate the legibility of x different road sign fonts, with a sample size of y drivers who tested each sign.","The graph shows, for each road sign font, how many people were able to read the writing clearly.",How legibile were the road sign fonts?,Very unlegible,Very legible,16
17,Manufacturing Methods,Manufacturing Method,"A survey was conducted to investigate x manufacturing methods, with a sample size of y items produced by each method.","The graph shows, for each manufacturing method, how many of the items were free from defects.",How successful were the manufacturing methods?,Very unsuccessful,Very successful,17
18,Alcohol Purchases,Supermarket,"A survey was conducted to investigate alcohol purchases in x supermarkets, with a sample size of y shoppers from each supermarket.","The graph shows, for each supermarket, the number of shoppers who bought alcohol. ",How common were alcohol purchases?,Very uncommon,Very common,18
19,Pension Schemes,Recruitment Company,"A survey was conducted to investigate pension scheme enrollment in x recruitment companies, with a sample size of y employees from each company.","The graph shows, for each recruitment company, how many of the employees opted out of the pension scheme.",How common was it to opt out of the pension scheme?,Very uncommon,Very common,47
20,Master's Degree,Tech Company,"A survey was conducted to investigate educational qualification in x tech companies, with a sample size of y employees from each company.","The graph shows, for each tech company, the number of employees who held a master's degree.",How common was it for employees to hold a master's degree?,Very uncommon,Very common,48
21,Computer Programmers,Novice Computer Programmer,"A survey was conducted to investigate the aptitude of x novice computer programmers in their final assessments, with y questions given to each novice computer programmer. ","The graph shows, for each novice computer programmer, the number of questions which they answered correctly.",How well did the novice computer programmers perform?,Very poorly,Very well,21
22,Chocolate Consumption,UK County,"A survey was conducted to investigate perceptions of chocolate consumption in x different UK counties, with a sample size of y people from each county.","The graph shows, for each different county, the number of people who eat chocolate daily.",How common was daily chocolate consumption?,Very uncommon,Very common,22
23,Job Satisfaction,Consultation Company,"A survey was conducted to investigate employee satisfaction at x different consultation companies, with a sample size of y employees from each company.","The graph shows, for each consultation company, the number of employees that were satisfied with their current roles. ",How satisfied with their jobs were employees at these companies?,Very unsatisfied,Very satisfied,23
24,TV Programmes,TV Programme,"A survey was conducted to investigate opinions of x TV programmes, with a sample size of y people who watched each programme.","The graph shows, for each TV programme, the number of people who enjoyed the programme.",How enjoyable did people find the TV programmes?,Very unenjoyable,Very enjoyable ,24
25,Study Apps,Exam Study App,"A survey was conducted to investigate the efficacy of x exam study apps, with a sample size of y students who tested each app.","The graph shows, for each exam study app, the number of students that met their target grades.",How successful were the study apps?,Very unsuccessful ,Very successful,25
26,Dating Apps,Dating App,"A survey was conducted to investigate the efficacy of x dating apps, with a sample size of y people who used each app.","The graph shows, for each dating app, the number of users that formed romantic relationships with other app users.",How successful were the dating apps?,Very unsuccessful,Very successful,49
27,Productivity Courses,Company,"A survey was conducted to investigate the effectiveness of a productivity course utilised by x companies based in America, with a sample size of y employees from each company. ","The graph shows, for each company, the number of employees whose productivity at work improved.",How effective was the productivity course?,Very ineffective,Very effective,27
28,Fizzy Drinks,Fizzy Drink,"A survey was conducted to investigate opinions on x fizzy drinks, with a sample size of y people who tested each drink.","The graph shows, for each fizzy drink, the number of people who said they would buy the drink in a supermarket. ",How enjoyable did people find the fizzy drinks?,Very unenjoyable,Very enjoyable,28
29,Fast-Food Chains,Fast-Food Chain,"A survey was conducted to investigate food hygiene at x fast-food chains, with a sample size of y restaurants reviewed from each fast-food chain.","The graph shows, for each fast-food chain, the number of restaurants where no hygiene issues were identified.",How hygienic were the fast-food chains?,Very unhygienic,Very hygienic,50
30,Animal Health,Farm,"A survey was conducted to investigate agricultural hygiene of x large-scale farms, with a sample size of y animals from each farm.","The graph shows, for each farm, the number of animals that were free from disease.",How healthy were the animals?,Very unhealthy,Very healthy,51
31,Psychology Students,Psychology Student,"A survey was conducted to investigate the aptitude of x psychology students, with y questions given to each psychology student.","The graph shows, for each psychology student, the number of questions which they answered correctly.",How competent were the psychology students?,Very incompetent,Very competent,55
32,Trainee Engineers,Trainee Engineer,"A survey was conducted to investigate the aptitude of x trainee engineers in their final assessments, with y questions given to each trainee engineer.","The graph shows, for each trainee engineer, the number of questions which they answered correctly.",How well did the trainee engineers perform?,Very poorly,Very well,32
33,Job Wellbeing,Taxi Company,"A survey was conducted to investigate workplace wellbeing at x taxi companies, with a sample size of y employees from each company.","The graph shows, for each taxi company, the number of employees who reported high workplace wellbeing.",How satisfied were employees with their jobs?,Very unsatisfied,Very satisfied,33
34,Climbing Shoes,Climbing Shoe,"A survey was conducted to investigate the efficacy of x climbing shoes, with a sample size of y climbers assessing each shoe.","The graph shows, for each different climbing shoe, the number of climbers who noticed improvements in their climbing.",How effective were the climbing shoes?,Very ineffective,Very effective,34
35,Concert Sound System,Concert Sound System,"A survey was conducted to investigate the performance of x concert sound systems, with a sample size of y people testing each system.","The graph shows, for each concert sound system, the number of people who could hear the music clearly at the back of the venue.",How effective were the concert speakers speakers?,Very uneffective,Very effective,35
36,Suntan Lotion,Suntan Lotion,"A survey was conducted to investigate the efficacy of x suntan lotions, with a sample size of y people reviewing each lotion.","The graph shows, for each suntan lotion, the number of people that didn't get sunburnt after spending a day in the sun. ",How effective were the suntan lotions?,Very uneffective,Very effective,36
37,Breeding Programmes,Animal Breeding Programme,"A survey was conducted to investigate the efficacy of x extensive animal breeding programmes, with a sample size of y animals from each breeding programme. ","The graph shows, for each breeding programme, the number of animals that successfully produced offspring.",How effective were the breeding programmes?,Very ineffective,Very effective,37
38,Ready-To-Assemble Furniture,Furniture Product,"A survey was conducted to investigate the ease of assembly of x furniture products, with a sample size of y people assembling each furniture product.","The graph shows, for each furniture product, the number of people who assembled it on their first attempt.",How easy was it to assemble the furniture?,Very difficult,Very easy,38
39,Self-Organisation Courses,Self-Organisation Course,"A survey was conducted to investigate the efficacy of x self-organisation courses, with a sample size of y people who tested each course.","The graph shows, for each course, the number of people who felt that they were spending their time more efficiently",How effective were the self-organisation courses?,Very ineffective,Very effective,39
40,Insurance Policies,Insurance Policy,"A survey was conducted to investigate attitudes towards x insurance policies, with a sample size of y people enrolled in each policy.","The graph shows, for each insurance policy, the number of people that thought it was good value.",How satisfied were people with the insurance policy prices?,Very unsatisfied,Very satisfied,52
